date,count,result
2021-01-05 05:00:00+00,7501,negative
2021-01-06 05:00:00+00,7738,negative
2021-01-06 05:00:00+00,742,positive
2021-01-07 05:00:00+00,8052,negative
2021-01-07 05:00:00+00,690,positive
2021-01-08 05:00:00+00,8690,negative
2021-01-08 05:00:00+00,699,positive
2021-01-09 05:00:00+00,401,positive
2021-01-09 05:00:00+00,6649,negative
2021-01-10 05:00:00+00,304,positive
2021-01-10 05:00:00+00,4483,negative
2021-01-11 05:00:00+00,751,positive
2021-01-11 05:00:00+00,7290,negative
2021-01-12 05:00:00+00,8809,negative
2021-01-12 05:00:00+00,605,positive
2021-01-13 05:00:00+00,8733,negative
2021-01-13 05:00:00+00,607,positive
2021-01-14 05:00:00+00,581,positive
2021-01-14 05:00:00+00,10813,negative
2021-01-15 05:00:00+00,554,positive
2021-01-15 05:00:00+00,9877,negative
2021-01-16 05:00:00+00,6800,negative
2021-01-16 05:00:00+00,337,positive
2021-01-17 05:00:00+00,5139,negative
2021-01-17 05:00:00+00,255,positive
2021-01-18 05:00:00+00,7255,negative
2021-01-18 05:00:00+00,482,positive
2021-01-19 05:00:00+00,9164,negative
2021-01-19 05:00:00+00,622,positive
2021-01-20 05:00:00+00,487,positive
2021-01-20 05:00:00+00,7074,negative
2021-01-21 05:00:00+00,9567,negative
2021-01-21 05:00:00+00,516,positive
2021-01-22 05:00:00+00,9300,negative
2021-01-22 05:00:00+00,462,positive
2021-01-23 05:00:00+00,6570,negative
2021-01-23 05:00:00+00,283,positive
2021-01-24 05:00:00+00,280,positive
2021-01-24 05:00:00+00,4174,negative
2021-01-25 05:00:00+00,561,positive
2021-01-25 05:00:00+00,8959,negative
2021-01-26 05:00:00+00,473,positive
2021-01-26 05:00:00+00,8652,negative
2021-01-27 05:00:00+00,9144,negative
2021-01-27 05:00:00+00,489,positive
2021-01-28 05:00:00+00,503,positive
2021-01-28 05:00:00+00,10727,negative
2021-01-29 05:00:00+00,427,positive
2021-01-29 05:00:00+00,9014,negative
2021-01-30 05:00:00+00,255,positive
2021-01-30 05:00:00+00,6381,negative
2021-01-31 05:00:00+00,215,positive
2021-01-31 05:00:00+00,3649,negative
2021-02-01 05:00:00+00,2681,negative
2021-02-01 05:00:00+00,138,positive
2021-02-02 05:00:00+00,3357,negative
2021-02-02 05:00:00+00,290,positive
2021-02-03 05:00:00+00,473,positive
2021-02-03 05:00:00+00,7272,negative
2021-02-04 05:00:00+00,9965,negative
2021-02-04 05:00:00+00,481,positive
2021-02-05 05:00:00+00,9770,negative
2021-02-05 05:00:00+00,450,positive
2021-02-06 05:00:00+00,6385,negative
2021-02-06 05:00:00+00,293,positive
2021-02-07 05:00:00+00,3384,negative
2021-02-07 05:00:00+00,162,positive
2021-02-08 05:00:00+00,7757,negative
2021-02-08 05:00:00+00,382,positive
2021-02-09 05:00:00+00,373,positive
2021-02-09 05:00:00+00,7812,negative
2021-02-10 05:00:00+00,8483,negative
2021-02-10 05:00:00+00,357,positive
2021-02-11 05:00:00+00,8501,negative
2021-02-11 05:00:00+00,330,positive
2021-02-12 05:00:00+00,7063,negative
2021-02-12 05:00:00+00,296,positive
2021-02-13 05:00:00+00,184,positive
2021-02-13 05:00:00+00,4496,negative
2021-02-14 05:00:00+00,2840,negative
2021-02-14 05:00:00+00,123,positive
2021-02-15 05:00:00+00,327,positive
2021-02-15 05:00:00+00,6740,negative
2021-02-16 05:00:00+00,335,positive
2021-02-16 05:00:00+00,6920,negative
2021-02-17 05:00:00+00,8290,negative
2021-02-17 05:00:00+00,337,positive
2021-02-18 05:00:00+00,141,positive
2021-02-18 05:00:00+00,6466,negative
2021-02-19 05:00:00+00,253,positive
2021-02-19 05:00:00+00,5516,negative
2021-02-20 05:00:00+00,227,positive
2021-02-20 05:00:00+00,4733,negative
2021-02-21 05:00:00+00,3031,negative
2021-02-21 05:00:00+00,207,positive
2021-02-22 05:00:00+00,6859,negative
2021-02-22 05:00:00+00,293,positive
2021-02-23 05:00:00+00,311,positive
2021-02-23 05:00:00+00,8225,negative
2021-02-24 05:00:00+00,321,positive
2021-02-24 05:00:00+00,8838,negative
2021-02-25 05:00:00+00,9573,negative
2021-02-25 05:00:00+00,292,positive
2021-02-26 05:00:00+00,7868,negative
2021-02-26 05:00:00+00,316,positive
2021-02-27 05:00:00+00,181,positive
2021-02-27 05:00:00+00,5507,negative
2021-02-28 05:00:00+00,175,positive
2021-02-28 05:00:00+00,3161,negative
2021-03-01 05:00:00+00,7711,negative
2021-03-01 05:00:00+00,339,positive
2021-03-02 05:00:00+00,288,positive
2021-03-02 05:00:00+00,8598,negative
2021-03-03 05:00:00+00,343,positive
2021-03-03 05:00:00+00,9158,negative
2021-03-04 05:00:00+00,337,positive
2021-03-04 05:00:00+00,9490,negative
2021-03-05 05:00:00+00,332,positive
2021-03-05 05:00:00+00,8238,negative
2021-03-06 05:00:00+00,5229,negative
2021-03-06 05:00:00+00,224,positive
2021-03-07 05:00:00+00,3189,negative
